row_number_in_csv_including_header,date_raw,parsed_date,rule,severity,message,open,high,low,close,volume_kg
7,7/11/2002,2002-11-07,weekday_gap,warning,与上一交易日相隔 2 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,85,85.15,85,85.13,26
39,24/12/2002,2002-12-24,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,93.65,93.65,92.9,93.09,94
40,26/12/2002,2002-12-26,weekday_gap,warning,与上一交易日相隔 2 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,92.55,93.08,92.55,93.01,71
44,2/1/2003,2003-01-02,weekday_gap,warning,与上一交易日相隔 2 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,93,93,92.8,92.87,201
64,10/2/2003,2003-02-10,weekday_gap,warning,与上一交易日相隔 12 个日历日，其间有 7 个工作日缺失（可能为交易所假期或抓取缺口）。,98.5,99.4,98.5,99.06,427
122,6/5/2003,2003-05-06,weekday_gap,warning,与上一交易日相隔 6 个日历日，其间有 3 个工作日缺失（可能为交易所假期或抓取缺口）。,90.8,91.05,90.8,90.98,49
154,20/6/2003,2003-06-20,weekday_gap,warning,与上一交易日相隔 2 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,96.19,96.19,95.9,95.91,31
213,12/9/2003,2003-09-12,weekday_gap,warning,与上一交易日相隔 2 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,100.98,100.98,100.69,100.83,86
224,30/9/2003,2003-09-30,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,101.98,102.05,101.9,101.98,139
225,8/10/2003,2003-10-08,weekday_gap,warning,与上一交易日相隔 8 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,100.59,100.68,100.45,100.47,208
286,2/1/2004,2004-01-02,weekday_gap,warning,与上一交易日相隔 2 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,111,111.19,111,111.18,50
299,29/1/2004,2004-01-29,weekday_gap,warning,与上一交易日相隔 11 个日历日，其间有 7 个工作日缺失（可能为交易所假期或抓取缺口）。,109.65,109.69,109.44,109.65,75
366,8/5/2004,2004-05-08,weekday_gap,warning,与上一交易日相隔 8 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,102.3,103.48,102.3,103.25,96
402,28/6/2004,2004-06-28,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,106.5,106.5,106.27,106.29,213
471,8/10/2004,2004-10-08,weekday_gap,warning,与上一交易日相隔 8 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,110.59,110.59,110,110.4,336
532,4/1/2005,2005-01-04,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,115.09,115.09,114.8,114.87,1313
556,16/2/2005,2005-02-16,weekday_gap,warning,与上一交易日相隔 12 个日历日，其间有 7 个工作日缺失（可能为交易所假期或抓取缺口）。,113.19,113.25,113.01,113.04,301
609,9/5/2005,2005-05-09,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,114.5,114.5,113.8,113.86,827
714,10/10/2005,2005-10-10,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,122.65,123.3,122.5,123,831
774,4/1/2006,2006-01-04,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,138.19,138.64,138.19,138.21,609
969,9/10/2006,2006-10-09,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,148.17,148.3,147.6,148.05,1475
1029,3/1/2007,2007-01-03,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,158.6,159.44,158.6,159.35,903
1062,26/2/2007,2007-02-26,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,170.5,170.85,170.35,170.69,964
1108,8/5/2007,2007-05-08,weekday_gap,warning,与上一交易日相隔 8 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,171.97,171.97,169.97,170.02,646
1212,8/10/2007,2007-10-08,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,179.49,179.49,178.39,178.41,1109
1272,2/1/2008,2008-01-02,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,195.02,196.94,195.02,196.46,2179
1297,13/2/2008,2008-02-13,weekday_gap,warning,与上一交易日相隔 8 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,211,214.5,208.19,208.19,1492
1334,7/4/2008,2008-04-07,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,207,207,205,205.77,1201
1352,5/5/2008,2008-05-05,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,197.35,197.35,194.61,194.97,1779
1377,10/6/2008,2008-06-10,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,199,199,197.39,197.39,831
1446,16/9/2008,2008-09-16,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,172,172,170.5,171.44,2107
1455,6/10/2008,2008-10-06,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,183,184.35,182.8,183.17,980
1519,5/1/2009,2009-01-05,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,193,193,191.25,192.1,2318
1534,2/2/2009,2009-02-02,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,200.8,202.39,198.89,199.8,2300
1579,7/4/2009,2009-04-07,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,194,194.1,193,194,2133
1597,4/5/2009,2009-05-04,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,195.77,196.75,195.21,196.75,1182
1615,1/6/2009,2009-06-01,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,214,216,213,215.69,2402
1703,9/10/2009,2009-10-09,weekday_gap,warning,与上一交易日相隔 9 个日历日，其间有 6 个工作日缺失（可能为交易所假期或抓取缺口）。,231,231,228.5,229,3226
