date,rule,disposition,reason,reviewer,decided_on
2002-10-30,extreme_intraday_range,,,,
2002-11-07,weekday_gap,,,,
2002-11-15,large_volume_change_warning,,,,
2002-12-24,weekday_gap,,,,
2002-12-26,weekday_gap,,,,
2003-01-02,large_volume_change_warning,,,,
2003-01-02,weekday_gap,,,,
2003-01-22,large_volume_change_warning,,,,
2003-01-23,large_volume_change_warning,,,,
2003-02-10,weekday_gap,,,,
2003-02-19,large_volume_change_warning,,,,
2003-05-06,weekday_gap,,,,
2003-05-26,large_volume_change_warning,,,,
2003-06-18,large_volume_change_warning,,,,
2003-06-20,weekday_gap,,,,
2003-09-09,large_volume_change_warning,,,,
2003-09-12,weekday_gap,,,,
2003-09-30,weekday_gap,,,,
2003-10-08,weekday_gap,,,,
2003-10-21,large_volume_change_warning,,,,
2003-12-02,large_volume_change_warning,,,,
2003-12-03,large_volume_change_warning,,,,
2004-01-02,weekday_gap,,,,
2004-01-29,weekday_gap,,,,
2004-05-08,weekday_gap,,,,
2004-06-28,weekday_gap,,,,
2004-09-06,large_volume_change_warning,,,,
2004-10-08,weekday_gap,,,,
2004-10-26,extreme_intraday_range,,,,
2004-11-08,large_volume_change_warning,,,,
2004-11-09,large_volume_change_warning,,,,
2005-01-04,weekday_gap,,,,
2005-01-06,large_volume_change_warning,,,,
2005-02-16,weekday_gap,,,,
2005-03-11,extreme_intraday_range,,,,
2005-03-18,large_volume_change_warning,,,,
2005-05-09,weekday_gap,,,,
2005-10-10,weekday_gap,,,,
2005-11-25,large_volume_change_warning,,,,
2005-11-29,large_volume_change_warning,,,,
2005-12-19,extreme_intraday_range,,,,
2006-01-04,weekday_gap,,,,
2006-02-03,large_close_change_warning,,,,
2006-02-06,large_close_change_warning,,,,
2006-05-08,large_close_change_warning,,,,
2006-05-22,large_close_change_warning,,,,
2006-06-14,extreme_intraday_range,,,,
2006-06-16,extreme_intraday_range,,,,
2006-10-09,weekday_gap,,,,
2007-01-03,weekday_gap,,,,
2007-02-26,weekday_gap,,,,
2007-05-08,weekday_gap,,,,
2007-10-08,weekday_gap,,,,
2008-01-02,weekday_gap,,,,
2008-02-13,weekday_gap,,,,
2008-03-20,extreme_intraday_range,,,,
2008-04-07,weekday_gap,,,,
2008-05-05,weekday_gap,,,,
2008-06-10,weekday_gap,,,,
2008-08-12,extreme_intraday_range,,,,
