distance_bin_yuan,observation_count,proportion
"[0,1)",105,0.028657205240174673
"[1,2)",130,0.035480349344978165
"[2,3)",119,0.03247816593886463
"[3,4)",139,0.03793668122270742
"[4,5)",123,0.03356986899563319
"[5,6)",136,0.03711790393013101
"[6,7)",160,0.043668122270742356
"[7,8)",136,0.03711790393013101
"[8,9)",155,0.04230349344978166
"[9,10)",167,0.04557860262008734
"[10,11)",164,0.04475982532751092
"[11,12)",154,0.04203056768558952
"[12,13)",177,0.048307860262008735
"[13,14)",163,0.04448689956331878
"[14,15)",142,0.03875545851528384
"[15,16)",157,0.04284934497816594
"[16,17)",157,0.04284934497816594
"[17,18)",156,0.0425764192139738
"[18,19)",159,0.043395196506550215
"[19,20)",137,0.03739082969432314
"[20,21)",139,0.03793668122270742
"[21,22)",143,0.03902838427947598
"[22,23)",143,0.03902838427947598
"[23,24)",144,0.039301310043668124
"[24,25)",154,0.04203056768558952
